"B=0.5,beta=0.5,T=3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B=0.5,beta=0.5,T=3"
num of iters,i/alpha,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99,1.0
25,0.6,0.10033444816053512,0.1505016722408027,0.1806020066889632,0.21070234113712374,0.2408026755852843,0.2709030100334448,0.3010033444816054,0.3210702341137124,0.3511705685618729,0.37123745819397996,0.4013377926421405,0.4214046822742475,0.44147157190635455,0.47157190635451507,0.4916387959866221,0.5117056856187291,0.5418060200668896,0.5618729096989967,0.5819397993311037,0.6120401337792643,0.6321070234113713,0.6622073578595318,0.6822742474916388,0.7123745819397993,0.7324414715719064,0.7625418060200669,0.7926421404682275,0.822742474916388,0.842809364548495,0.8729096989966555,0.9130434782608696,0.9431438127090301,0.9732441471571907,1.0133779264214047,1.0434782608695652,1.0836120401337792,1.1237458193979935,1.173913043478261,1.214046822742475,1.2642140468227425,1.3244147157190636,1.3846153846153846,1.4548494983277593,1.5250836120401339,1.6153846153846154,1.725752508361204,1.8561872909698998,2.076923076923077,2.5585284280936453,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0

"B=0.5,beta=0.5,T=3"
num of iters,i/alpha,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99,1.0

"B=0.5,beta=0.5,T=3"
num of iters,i/alpha,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99,1.0
25,0.6,0.10033444816053512,0.1505016722408027,0.1806020066889632,0.21070234113712374,0.2408026755852843,0.2709030100334448,0.3010033444816054,0.3210702341137124,0.3511705685618729,0.37123745819397996,0.4013377926421405,0.4214046822742475,0.44147157190635455,0.47157190635451507,0.4916387959866221,0.5117056856187291,0.5418060200668896,0.5618729096989967,0.5819397993311037,0.6120401337792643,0.6321070234113713,0.6622073578595318,0.6822742474916388,0.7123745819397993,0.7324414715719064,0.7625418060200669,0.7926421404682275,0.822742474916388,0.842809364548495,0.8729096989966555,0.9130434782608696,0.9431438127090301,0.9732441471571907,1.0133779264214047,1.0434782608695652,1.0836120401337792,1.1237458193979935,1.173913043478261,1.214046822742475,1.2642140468227425,1.3244147157190636,1.3846153846153846,1.4548494983277593,1.5250836120401339,1.6153846153846154,1.725752508361204,1.8561872909698998,2.076923076923077,2.5585284280936453,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
